Produktnavn,Produkt ID,Produkt Status
"Brugt iPad Pro 11"" 2. Gen (2020) WiFi",9318758973705,active
"Brugt iPad Pro 11"" 5. Gen (2024) Cellular",9318759334153,draft
"Brugt iPad Pro 12.9"" 1. Gen (2015) Cellular",9318757564681,draft
"Brugt iPad Pro 12.9"" 1. Gen (2015) WiFi",9318757695753,draft
"Brugt iPad Pro 12.9"" 2 Gen (2017) Cellular",9318758383881,active
"Brugt iPad Pro 12.9"" 2 Gen (2017) WiFi",9318758318345,active
"Brugt iPad Pro 12.9"" 3. Gen (2018) Cellular",9318758646025,active
"Brugt iPad Pro 12.9"" 3. Gen (2018) WiFi",9318758547721,active
"Brugt iPad Pro 12.9"" 4. Gen (2020) Cellular",9318760317193,active
"Brugt iPad Pro 12.9"" 4. Gen (2020) WiFi",9318760382729,active
"Brugt iPad Pro 12.9"" 5. Gen (2021) Cellular",9318762414345,active
"Brugt iPad Pro 12.9"" 5. Gen (2021) WiFi",9318762545417,active
"Brugt iPad Pro 12.9"" 6. Gen (2022) Cellular",9325810712841,active
"Brugt iPad Pro 12.9"" 6. Gen (2022) WiFi",9325810745609,active
"Brugt iPad Pro 9.7"" (2016) Cellular",9318762381577,draft
"Brugt iPad Pro 9.7"" (2016) WiFi",9318762316041,draft
Brugt iPhone 11,9268027195657,active
Brugt iPhone 11 Pro,9267925025033,active
Brugt iPhone 11 Pro Max,9267928760585,active
Brugt iPhone 12,9267932659977,active
Brugt iPhone 12 Mini,9267938165001,active
Brugt iPhone 12 Pro,9267945603337,active
Brugt iPhone 12 Pro Max,9267948978441,active
Brugt iPhone 13,9267952386313,active
Brugt iPhone 13 Mini,9267957727497,active
Brugt iPhone 13 Pro,9267962675465,active
Brugt iPhone 13 Pro Max,9267966804233,active
Brugt iPhone 14,9267970933001,active
Brugt iPhone 14 Plus,9267975127305,active
Brugt iPhone 14 Pro,9267979157769,active
Brugt iPhone 14 Pro Max,9267981943049,active
Brugt iPhone 15,9267984826633,active
Brugt iPhone 15 Plus,9267986661641,active
Brugt iPhone 15 Pro,9267988496649,active
Brugt iPhone 15 Pro Max,9267990397193,active
Brugt iPhone 16,14895242281225,active
Brugt iPhone 16 Plus,15265312571657,draft
Brugt iPhone 16 Pro,14895236219145,active
Brugt iPhone 16 Pro Max,14895225962761,active
Brugt iPhone 7,9267992232201,draft
Brugt iPhone 7 Plus,9267996295433,draft
Brugt iPhone 8,9268003832073,active
Brugt iPhone 8 Plus,9268008976649,active
Brugt iPhone SE 2020,9268011729161,active
Brugt iPhone SE 2022,9268013695241,active
Brugt iPhone X,9268015071497,active
Brugt iPhone XR,9268016283913,active
Brugt iPhone XS,9268020314377,active
Brugt iPhone XS Max,9268022608137,active
"Brugt MacBook Air 13,3"" (2019) i5 1.6 GHz - Rosa",15264056967433,draft
"Brugt MacBook Air 13,3"" (2020) i3 1.1 GHz - Sølv",15262307713289,draft
"Brugt MacBook Air 13,6"" (2022) M2 - Space Grey",15262310269193,draft
"Brugt MacBook Air 13,6"" (2024) M3 - Stjerneskær",15262307680521,draft
"Brugt MacBook Pro 14,2"" (2023) M3 - Space Black",15262307189001,draft
Brugt Samsung Galaxy S20 5G,15097416548617,active
Brugt Samsung Galaxy S20 FE 5G,15097417236745,active
Brugt Samsung Galaxy S21 5G,15097418252553,active
Brugt Samsung Galaxy S21 FE 5G,15097417761033,active
Brugt Samsung Galaxy S21 Plus 5G,15097418678537,active
Brugt Samsung Galaxy S21 Ultra 5G,15097419038985,active
Brugt Samsung Galaxy S22 5G,15097413927177,active
Brugt Samsung Galaxy S22 Plus 5G,15097413435657,active
Brugt Samsung Galaxy S22 Ultra 5G,15097419170057,active
Brugt Samsung Galaxy S23 5G,15097419563273,active
Brugt Samsung Galaxy S23 Plus 5G,15097405047049,active
Brugt Samsung Galaxy S23 Ultra 5G,15097414844681,active
Brugt Samsung Galaxy S24 Ultra 5G,15097415827721,active
Brugt Samsung Galaxy Z Flip 6,15202300166409,active
Brugt Samsung Galaxy Z Fold 6,15202300100873,active
Brugt Samsung Watch 7,15202300002569,active
Brugt Samsung Watch Ultra,15202299937033,active
Brugte AirPods (4. gen) med aktiv støjreduktion – Premium lyd med ANC,15261820289289,draft
Brugte AirPods (4. gen) – Apples nyeste høretelefoner med H2-chip,15261818683657,draft
EarPods,9268032176393,active
"HOCO EQ21 - Trådløse høretelefoner med ANC, ENC og intelligent touchscreen",15197220405513,active
HOCO EQ22 - Trådløse høretelefoner med ANC og ENC noise reduction,15197232234761,active
HOCO N51 - Intelligent 65W vægoplader med 3 porte og sikker opladning,15197244391689,active
HOCO N65 - Kompakt 20W PD hurtigoplader med USB-C og USB-A porte,15197251764489,active
HOCO Q44 - Magnetisk powerbank 10.000 mAh med trådløs opladning og 20W hurtigopladning,15197265068297,active
HOCO Q44A - Kraftfuld magnetisk powerbank 20.000 mAh med trådløs opladning og 45W hurtigopladning,15197275455753,active
HOCO U114 - Komplet rejseladersæt med multifunktionelle kabler og omformere,15197281059081,active
"HOCO U133 - Premium USB-C til USB-C kabel 1,2m med 60W hurtigopladning",15197286891785,active
HOCO W35 Max - Premium hovedtelefoner med 90 timers batteri og avanceret noise cancelling,15197298721033,active
iPad 2 Reparation,9267890028809,active
iPad 4 Reparation,9267890290953,active
iPad 5. – 8. generation reparation,9267890487561,active
iPad 9 Reparation,9267889864969,active
iPad Air 1 reparation,9267894878473,active
iPad Air 2 reparation,9267895042313,active
iPad Air 3 reparation,9267894386953,active
iPad Air 4 reparation,9267894157577,active
iPad Air 5 reparation,9267895337225,active
"iPad Mini 2, 3, 4 reparation",9267893797129,active
iPad Mini 5 reparation,9267893469449,active
iPad Mini 6 reparation,9267893207305,active
iPad Pro 10.5″ reparation,9267890913545,active
"iPad Pro 11"" 2.G. reparation",9267891208457,active
iPad Pro 11″ - 1. generation reparation,9267891470601,active
iPad Pro 11″ 2022 reparation,9267892322569,active
iPad Pro 12.9 6. generation reparation,9267892912393,active
iPad Pro 12.9″ – 1. generation reparation,9267891732745,active
iPad Pro 12.9″ – 2. generation reparation,9267892060425,active
iPad Pro 12.9″ – 3. – 5. generation reparation,9267892683017,active
iPad Pro 9.7″ reparation,9267890684169,active
iPhone 11 Pro Max reparation,9267924107529,active
iPhone 11 Pro reparation,9267924467977,active
iPhone 11 reparation,9267937771785,active
iPhone 12 Mini reparation,9267923747081,active
iPhone 12 Pro Max reparation,9267922534665,active
iPhone 12 Pro reparation,9267923026185,active
iPhone 12 reparation,9267923353865,active
iPhone 13 Mini reparation,9267920961801,active
iPhone 13 Pro Max reparation,9267922108681,active
iPhone 13 Pro reparation,9267921649929,active
iPhone 13 reparation,9267921223945,active
iPhone 14 Plus reparation,9267920273673,active
iPhone 14 Pro Max reparation,9267920699657,active
iPhone 14 Pro reparation,9268026671369,active
iPhone 14 reparation,9267919880457,active
iPhone 15 Plus reparation,9267918733577,active
iPhone 15 Pro Max reparation,9267919552777,active
iPhone 15 Pro reparation,9267919225097,active
iPhone 15 reparation,9267918307593,active
iPhone 16 Plus reparation,9278342299913,active
iPhone 16 Pro Max reparation,9278274470153,active
iPhone 16 Pro reparation,9278341447945,active
iPhone 16 reparation,9278341841161,active
iPhone 6 Plus reparation,9268025983241,active
iPhone 6 reparation,9268026179849,active
iPhone 6S Plus reparation,9268025458953,active
iPhone 6S reparation,9268025819401,active
iPhone 7 Plus reparation,9268026376457,active
iPhone 7 reparation,9268025065737,active
iPhone 8 Plus reparation,9268024410377,active
iPhone 8 reparation,9268024770825,active
iPhone SE 1 generation reparation,9267943538953,active
iPhone SE 2020 reparation,9267943833865,active
iPhone SE 2022 reparation,9267943080201,active
iPhone X reparation,9267944849673,active
iPhone XR reparation,9267945177353,active
iPhone XS Max reparation,9267944489225,active
iPhone XS reparation,9267944161545,active
MacBook 12″ (2015) reparation,9267901432073,draft
MacBook 12″ (2016) reparation,9267900973321,draft
MacBook 12″ (2017) reparation,9267901137161,draft
MacBook Air 11″ (2013-2015) reparation,9267899531529,draft
"MacBook Air 13,6″ M2 reparation",9267900317961,draft
"MacBook Air 13,6″ M3 reparation",9267900514569,draft
MacBook Air 13″ (2013-2017) reparation,9267899760905,draft
MacBook Air 13″ (2018-2020) reparation,9267899990281,draft
MacBook Air 13″ M1 reparation,9267900186889,draft
MacBook Air 15″ M2 reparation,9267900776713,draft
MacBook Pro 13″ (2012-2015) reparation,9267898548489,draft
MacBook Pro 13″ (2016-2017) 2 thunderbolt reparation,9267898843401,draft
MacBook Pro 13″ (2016-2017) 4 Thunderbolt reparation,9267899072777,draft
MacBook Pro 13″ 2018-2020 reparation,9267898319113,draft
MacBook Pro 13″ M1 reparation,9267898122505,draft
MacBook Pro 13″ M2 reparation,9267899302153,draft
MacBook Pro 14″ M1 (2021) reparation,9267897499913,draft
MacBook Pro 14″ M2 (2023) reparation,9267897663753,draft
MacBook Pro 14″ M3 (2024) reparation,9267897925897,draft
MacBook Pro 15″ (2012-2015) reparation,9267896189193,draft
MacBook Pro 15″ (2016-2019) reparation,9267895697673,draft
MacBook Pro 15″ (Mid 2012) reparation,9267895894281,draft
MacBook Pro 16″ (2019) reparation,9267896418569,draft
MacBook Pro 16″ M1 (2021) reparation,9267896647945,draft
MacBook Pro 16″ M2 (2023) reparation,9267896910089,draft
MacBook Pro 16″ M3 (2024) reparation,9267897139465,draft
NZ10 - 45W Biloplader med hurtig PD opladning,15261818749193,draft
Samsung Galaxy A03 reparation,9267913818377,draft
Samsung Galaxy A04s reparation,9267914440969,draft
Samsung Galaxy A13 5G reparation,9267915161865,draft
Samsung Galaxy A13 reparation,9267914801417,draft
Samsung Galaxy A22 5G reparation,9267917455625,draft
Samsung Galaxy A22 reparation,9267917848841,draft
Samsung Galaxy A32 5G reparation,9267916669193,draft
Samsung Galaxy A32 reparation,9267917062409,draft
Samsung Galaxy A33 reparation,9267916275977,draft
Samsung Galaxy A52s reparation,9267915522313,draft
Samsung Galaxy A53 reparation,9267915849993,draft
Samsung Galaxy S20 FE reparation,9267913425161,draft
Samsung Galaxy S20 Plus reparation,9267912474889,draft
Samsung Galaxy S20 reparation,9267912900873,draft
Samsung Galaxy S20 Ultra reparation,9267912048905,draft
Samsung Galaxy S21 FE reparation,9267911655689,draft
Samsung Galaxy S21 Plus reparation,9267910738185,draft
Samsung Galaxy S21 reparation,9267911262473,draft
Samsung Galaxy S21 Ultra reparation,9267910344969,draft
Samsung Galaxy S22 Plus reparation,9267909361929,draft
Samsung Galaxy S22 reparation,9267909820681,draft
Samsung Galaxy S22 Ultra reparation,9267908935945,draft
Samsung Galaxy S23 Plus reparation,9267908018441,draft
Samsung Galaxy S23 reparation,9267907526921,draft
Samsung Galaxy S23 Ultra reparation,9267908378889,draft
Samsung Galaxy S24 Plus reparation,9267906478345,draft
Samsung Galaxy S24 reparation,9267905986825,draft
Samsung Galaxy S24 Ultra reparation,9267906937097,draft
Samsung Galaxy Tab S7 FE reparation,9267902677257,draft
Samsung Galaxy Tab S7 LTE reparation,9267903004937,draft
Samsung Galaxy Tab S7 Plus reparation,9267903299849,draft
Samsung Galaxy Tab S7 reparation,9267903627529,draft
Samsung Galaxy Tab S8 Plus reparation,9267901956361,draft
Samsung Galaxy Tab S8 reparation,9267902185737,draft
Samsung Galaxy Tab S8 Ultra reparation,9267901595913,draft
Samsung Galaxy Z Flip 3 reparation,9267904774409,draft
Samsung Galaxy Z Flip 4 reparation,9267905167625,draft
Samsung Galaxy Z Flip 5 reparation,9267905560841,draft
Samsung Galaxy Z Fold 3 reparation,9267903889673,draft
Samsung Galaxy Z Fold 4 reparation,9267904119049,draft
Samsung Galaxy Z Fold 5 reparation,9267904446729,draft
Sikkerhedspakke iPad,9363568525577,draft
Sikkerhedspakke iPhone,9363568492809,draft
Transparent Cover iPad,9351492141321,active
Transparent Cover iPhone,9351492174089,active
