Produktnavn,Produkt ID,Produkt Status
iPhone XS Max reparation,8191143411848,active
iPhone XS reparation,8191143346312,active
MacBook 12″ (2015) reparation,8191139086472,active
MacBook 12″ (2016) reparation,8191139020936,active
MacBook 12″ (2017) reparation,8191139053704,active
MacBook Air 11″ (2013-2015) reparation,8191138431112,active
"MacBook Air 13,6″ M2 reparation",8191138758792,active
"MacBook Air 13,6″ M3 reparation",8191138889864,active
MacBook Air 13″ (2013-2017) reparation,8191138529416,active
MacBook Air 13″ (2018-2020) reparation,8191138627720,active
MacBook Air 13″ M1 reparation,8191138693256,active
MacBook Air 15″ M2 reparation,8191138988168,active
MacBook Pro 13″ (2012-2015) reparation,8191138267272,active
MacBook Pro 13″ (2016-2017) 2 thunderbolt reparation,8191138300040,active
MacBook Pro 13″ (2016-2017) 4 Thunderbolt reparation,8191138332808,active
MacBook Pro 13″ 2018-2020 reparation,8191138201736,active
MacBook Pro 13″ M1 reparation,8191138168968,active
MacBook Pro 13″ M2 reparation,8191138398344,active
MacBook Pro 14″ M1 (2021) reparation,8191138037896,active
MacBook Pro 14″ M2 (2023) reparation,8191138070664,active
MacBook Pro 14″ M3 (2024) reparation,8191138136200,active
MacBook Pro 15″ (2012-2015) reparation,8191137710216,active
MacBook Pro 15″ (2016-2019) reparation,8191137480840,active
MacBook Pro 15″ (Mid 2012) reparation,8191137611912,active
MacBook Pro 16″ (2019) reparation,8191137808520,active
MacBook Pro 16″ M1 (2021) reparation,8191137906824,active
MacBook Pro 16″ M2 (2023) reparation,8191137939592,active
MacBook Pro 16″ M3 (2024) reparation,8191137972360,active
N51 - 65W Wallplug med 3 porte og sikker opladning,15008876200311,active
N65 - 20W Wallplug med hurtig PD opladning,15008876757367,active
NZ10 - 45W Biloplader med hurtig PD opladning,15008879837559,draft
Q44 - Powerbank 10.000 mAh med trådløs opladning og fastcharging,15008917422455,active
Q44A - Powerbank 20.000 mAh med trådløs opladning og fastcharging,15008929087863,active
Samsung Galaxy A03 reparation,8191140921480,active
Samsung Galaxy A04s reparation,8191140954248,active
Samsung Galaxy A13 5G reparation,8191141052552,active
Samsung Galaxy A13 reparation,8191140987016,active
Samsung Galaxy A22 5G reparation,8191141281928,active
Samsung Galaxy A22 reparation,8191141347464,active
Samsung Galaxy A32 5G reparation,8191141183624,active
Samsung Galaxy A32 reparation,8191141249160,active
Samsung Galaxy A33 reparation,8191141150856,active
Samsung Galaxy A52s reparation,8191141085320,active
Samsung Galaxy A53 reparation,8191141118088,active
Samsung Galaxy S20 FE reparation,8191140888712,active
Samsung Galaxy S20 Plus reparation,8191140724872,active
Samsung Galaxy S20 reparation,8191140823176,active
Samsung Galaxy S20 Ultra reparation,8191140659336,active
Samsung Galaxy S21 FE reparation,8191140593800,active
Samsung Galaxy S21 Plus reparation,8191140397192,active
Samsung Galaxy S21 reparation,8191140528264,active
Samsung Galaxy S21 Ultra reparation,8191140364424,active
Samsung Galaxy S22 Plus reparation,8191140233352,active
Samsung Galaxy S22 reparation,8191140298888,active
Samsung Galaxy S22 Ultra reparation,8191140200584,active
Samsung Galaxy S23 Plus reparation,8191140135048,active
Samsung Galaxy S23 reparation,8191140069512,active
Samsung Galaxy S23 Ultra reparation,8191140167816,active
Samsung Galaxy S24 Plus reparation,8191140003976,active
Samsung Galaxy S24 reparation,8191139971208,active
Samsung Galaxy S24 Ultra reparation,8191140036744,active
Samsung Galaxy Tab S7 FE reparation,8191139283080,active
Samsung Galaxy Tab S7 LTE reparation,8191139348616,active
Samsung Galaxy Tab S7 Plus reparation,8191139414152,active
Samsung Galaxy Tab S7 reparation,8191139446920,active
Samsung Galaxy Tab S8 Plus reparation,8191139217544,active
Samsung Galaxy Tab S8 reparation,8191139250312,active
Samsung Galaxy Tab S8 Ultra reparation,8191139152008,active
Samsung Galaxy Z Flip 3 reparation,8191139741832,active
Samsung Galaxy Z Flip 4 reparation,8191139807368,active
Samsung Galaxy Z Flip 5 reparation,8191139872904,active
Samsung Galaxy Z Fold 3 reparation,8191139479688,active
Samsung Galaxy Z Fold 4 reparation,8191139577992,active
Samsung Galaxy Z Fold 5 reparation,8191139676296,active
Sikkerhedpakke iPhone,14866030756215,draft
Sikkerhedspakke iPad,14866031083895,draft
Transparent Cover,14800624091511,active
Transparent Cover iPad,14671462990199,active
U114 - Rejseladersæt med omformere,15008936984951,active
"U133 - USB-C kabel 1,2 m 60W",15008939311479,active
W35 Max - Hovedtelefoner med NC,15008939704695,active
