Produktnavn,Produkt ID,Variantnavn,Variant ID,SKU,Option1,Option2,Option3,Status,Pris
"Brugt iPad 10.2"" 7. Gen (2019) WiFi",8391933296776,128GB / Som ny / Guld,42982871597192,676f3e0725e735d0,128GB,Som ny,Guld,continue,2649.00
"Brugt iPad 10.2"" 7. Gen (2019) WiFi",8391933296776,128GB / Som ny / Sølv,53480063009143,26d074b936e0f77d,128GB,Som ny,Sølv,continue,2649.00
"Brugt iPad 10.2"" 8. Gen (2020) Cellular",8381915562120,32GB / Brugbar / Space Grey,42952674934920,431f42710ed319cb,32GB,Brugbar,Space Grey,continue,2349.00
"Brugt iPad 10.2"" 8. Gen (2020) Cellular",8381915562120,32GB / Brugbar / Guld,42952674967688,df8e03f4d8ef94b2,32GB,Brugbar,Guld,continue,2349.00
"Brugt iPad 10.2"" 8. Gen (2020) Cellular",8381915562120,32GB / Brugbar / Sølv,53480065696119,dfef6d31cb00d48e,32GB,Brugbar,Sølv,continue,2349.00
"Brugt iPad 10.2"" 8. Gen (2020) Cellular",8381915562120,32GB / Brugt / Space Grey,42952675000456,a6a6cf16433a8ce3,32GB,Brugt,Space Grey,continue,2449.00
"Brugt iPad 10.2"" 8. Gen (2020) Cellular",8381915562120,32GB / Brugt / Guld,42952675033224,b2064be6d122be6b,32GB,Brugt,Guld,continue,2449.00
"Brugt iPad 10.2"" 8. Gen (2020) Cellular",8381915562120,32GB / Brugt / Sølv,53480065728887,aaaf9fb467d2dc95,32GB,Brugt,Sølv,continue,2449.00
"Brugt iPad 10.2"" 8. Gen (2020) Cellular",8381915562120,32GB / Rigtig god / Space Grey,42952675065992,b1fa181bffb92d27,32GB,Rigtig god,Space Grey,continue,2549.00
"Brugt iPad 10.2"" 8. Gen (2020) Cellular",8381915562120,32GB / Rigtig god / Guld,42952675098760,22d902294f53b1ae,32GB,Rigtig god,Guld,continue,2549.00
"Brugt iPad 10.2"" 8. Gen (2020) Cellular",8381915562120,32GB / Rigtig god / Sølv,53480065761655,2d92ca0f99663e18,32GB,Rigtig god,Sølv,continue,2549.00
"Brugt iPad 10.2"" 8. Gen (2020) Cellular",8381915562120,32GB / Som ny / Space Grey,42952675131528,08c20f6ad7cdcdd8,32GB,Som ny,Space Grey,continue,2649.00
"Brugt iPad 10.2"" 8. Gen (2020) Cellular",8381915562120,32GB / Som ny / Guld,42952675164296,eb07e0799b368b49,32GB,Som ny,Guld,continue,2649.00
"Brugt iPad 10.2"" 8. Gen (2020) Cellular",8381915562120,32GB / Som ny / Sølv,53480065794423,b2fb46fe4b1307d2,32GB,Som ny,Sølv,continue,2649.00
"Brugt iPad 10.2"" 8. Gen (2020) Cellular",8381915562120,128GB / Brugbar / Space Grey,42952675197064,18e725f26b592a79,128GB,Brugbar,Space Grey,continue,3149.00
"Brugt iPad 10.2"" 8. Gen (2020) Cellular",8381915562120,128GB / Brugbar / Guld,42952675229832,7a418d9f04836aac,128GB,Brugbar,Guld,continue,3149.00
"Brugt iPad 10.2"" 8. Gen (2020) Cellular",8381915562120,128GB / Brugbar / Sølv,53480065827191,8ea58e80db86ca4e,128GB,Brugbar,Sølv,continue,3149.00
"Brugt iPad 10.2"" 8. Gen (2020) Cellular",8381915562120,128GB / Brugt / Space Grey,42952675262600,2c33d631b19f0eef,128GB,Brugt,Space Grey,continue,3349.00
"Brugt iPad 10.2"" 8. Gen (2020) Cellular",8381915562120,128GB / Brugt / Guld,42952675295368,05b0add4a6397520,128GB,Brugt,Guld,continue,3349.00
"Brugt iPad 10.2"" 8. Gen (2020) Cellular",8381915562120,128GB / Brugt / Sølv,53480065859959,a961d2125e4345cd,128GB,Brugt,Sølv,continue,3349.00
"Brugt iPad 10.2"" 8. Gen (2020) Cellular",8381915562120,128GB / Rigtig god / Space Grey,42952675328136,f77074ac90670854,128GB,Rigtig god,Space Grey,continue,3549.00
"Brugt iPad 10.2"" 8. Gen (2020) Cellular",8381915562120,128GB / Rigtig god / Guld,42952675360904,d6d57214b6881ada,128GB,Rigtig god,Guld,continue,3549.00
"Brugt iPad 10.2"" 8. Gen (2020) Cellular",8381915562120,128GB / Rigtig god / Sølv,53480065892727,342046cfbc2c7afb,128GB,Rigtig god,Sølv,continue,3549.00
"Brugt iPad 10.2"" 8. Gen (2020) Cellular",8381915562120,128GB / Som ny / Space Grey,42952675393672,aa35cddebfe3fff9,128GB,Som ny,Space Grey,continue,3749.00
"Brugt iPad 10.2"" 8. Gen (2020) Cellular",8381915562120,128GB / Som ny / Guld,42952675426440,7be9054be29a6381,128GB,Som ny,Guld,continue,3749.00
"Brugt iPad 10.2"" 8. Gen (2020) Cellular",8381915562120,128GB / Som ny / Sølv,53480065925495,90a7c72c3f5ee8f7,128GB,Som ny,Sølv,continue,3749.00
"Brugt iPad 10.2"" 8. Gen (2020) WiFi",8381881516168,32GB / Brugbar / Space Grey,42952644395144,2f21ada9ca8590ef,32GB,Brugbar,Space Grey,continue,1849.00
"Brugt iPad 10.2"" 8. Gen (2020) WiFi",8381881516168,32GB / Brugbar / Guld,42952671887496,09675f4125ce850c,32GB,Brugbar,Guld,continue,1849.00
"Brugt iPad 10.2"" 8. Gen (2020) WiFi",8381881516168,32GB / Brugbar / Sølv,53480069103991,98456baa36c8da0c,32GB,Brugbar,Sølv,continue,1849.00
"Brugt iPad 10.2"" 8. Gen (2020) WiFi",8381881516168,32GB / Brugt / Space Grey,42952644591752,e7626ae56023e551,32GB,Brugt,Space Grey,continue,1949.00
"Brugt iPad 10.2"" 8. Gen (2020) WiFi",8381881516168,32GB / Brugt / Guld,42952671920264,ee9fcde834ef5b45,32GB,Brugt,Guld,continue,1949.00
"Brugt iPad 10.2"" 8. Gen (2020) WiFi",8381881516168,32GB / Brugt / Sølv,53480069136759,c1da334ff6e321fc,32GB,Brugt,Sølv,continue,1949.00
"Brugt iPad 10.2"" 8. Gen (2020) WiFi",8381881516168,32GB / Rigtig god / Space Grey,42952659828872,1f512792a87e21e0,32GB,Rigtig god,Space Grey,continue,2049.00
"Brugt iPad 10.2"" 8. Gen (2020) WiFi",8381881516168,32GB / Rigtig god / Guld,42952671953032,02b3cc98acb68bbe,32GB,Rigtig god,Guld,continue,2049.00
"Brugt iPad 10.2"" 8. Gen (2020) WiFi",8381881516168,32GB / Rigtig god / Sølv,53480069169527,0234daf707a4de50,32GB,Rigtig god,Sølv,continue,2049.00
"Brugt iPad 10.2"" 8. Gen (2020) WiFi",8381881516168,32GB / Som ny / Space Grey,42952659894408,0777aac3a5ec4605,32GB,Som ny,Space Grey,continue,2149.00
"Brugt iPad 10.2"" 8. Gen (2020) WiFi",8381881516168,32GB / Som ny / Guld,42952671985800,29cf7100adf9994d,32GB,Som ny,Guld,continue,2149.00
"Brugt iPad 10.2"" 8. Gen (2020) WiFi",8381881516168,32GB / Som ny / Sølv,53480069202295,0eca09eb6e1ccb59,32GB,Som ny,Sølv,continue,2149.00
"Brugt iPad 10.2"" 8. Gen (2020) WiFi",8381881516168,128GB / Brugbar / Space Grey,42952644427912,739ee7b6b797435d,128GB,Brugbar,Space Grey,continue,2449.00
"Brugt iPad 10.2"" 8. Gen (2020) WiFi",8381881516168,128GB / Brugbar / Guld,42952672018568,824ac96da51b4b57,128GB,Brugbar,Guld,continue,2449.00
"Brugt iPad 10.2"" 8. Gen (2020) WiFi",8381881516168,128GB / Brugbar / Sølv,53480069235063,7d0273ef0d14cd32,128GB,Brugbar,Sølv,continue,2449.00
"Brugt iPad 10.2"" 8. Gen (2020) WiFi",8381881516168,128GB / Brugt / Space Grey,42952644624520,23b23d9ed3ac43c4,128GB,Brugt,Space Grey,continue,2649.00
"Brugt iPad 10.2"" 8. Gen (2020) WiFi",8381881516168,128GB / Brugt / Guld,42952672051336,6509a7e9d3615fde,128GB,Brugt,Guld,continue,2649.00
"Brugt iPad 10.2"" 8. Gen (2020) WiFi",8381881516168,128GB / Brugt / Sølv,53480069267831,909e4d525087b220,128GB,Brugt,Sølv,continue,2649.00
"Brugt iPad 10.2"" 8. Gen (2020) WiFi",8381881516168,128GB / Rigtig god / Space Grey,42952659959944,33c65277c1430090,128GB,Rigtig god,Space Grey,continue,2849.00
"Brugt iPad 10.2"" 8. Gen (2020) WiFi",8381881516168,128GB / Rigtig god / Guld,42952672084104,0e8943fe86e30910,128GB,Rigtig god,Guld,continue,2849.00
"Brugt iPad 10.2"" 8. Gen (2020) WiFi",8381881516168,128GB / Rigtig god / Sølv,53480069300599,bd24077c07c67d23,128GB,Rigtig god,Sølv,continue,2849.00
"Brugt iPad 10.2"" 8. Gen (2020) WiFi",8381881516168,128GB / Som ny / Space Grey,42952660025480,a8df71e405686333,128GB,Som ny,Space Grey,continue,3049.00
"Brugt iPad 10.2"" 8. Gen (2020) WiFi",8381881516168,128GB / Som ny / Guld,42952672116872,b9ccf0fc75dd4b0f,128GB,Som ny,Guld,continue,3049.00
"Brugt iPad 10.2"" 8. Gen (2020) WiFi",8381881516168,128GB / Som ny / Sølv,53480069333367,AUTOSKU-00000003,128GB,Som ny,Sølv,continue,3049.00
"Brugt iPad 10.2"" 9.Gen (2021) Cellular",14668696191351,64GB / Brugbar / Space Grey,53470948884855,2ad6ebebc4f9cf5a,64GB,Brugbar,Space Grey,continue,2549.00
"Brugt iPad 10.2"" 9.Gen (2021) Cellular",14668696191351,64GB / Brugbar / Sølv,53470948917623,e298abd20ef892eb,64GB,Brugbar,Sølv,continue,2549.00
"Brugt iPad 10.2"" 9.Gen (2021) Cellular",14668696191351,64GB / Brugt / Space Grey,53470948950391,ca12feaadcc7afb0,64GB,Brugt,Space Grey,continue,2749.00
"Brugt iPad 10.2"" 9.Gen (2021) Cellular",14668696191351,64GB / Brugt / Sølv,53470948983159,a604d4e634a784d2,64GB,Brugt,Sølv,continue,2749.00
"Brugt iPad 10.2"" 9.Gen (2021) Cellular",14668696191351,64GB / Rigtig god / Space Grey,53470949015927,ecaba0797289fc70,64GB,Rigtig god,Space Grey,continue,2949.00
"Brugt iPad 10.2"" 9.Gen (2021) Cellular",14668696191351,64GB / Rigtig god / Sølv,53470949048695,a79ea54cf5d6518f,64GB,Rigtig god,Sølv,continue,2949.00
"Brugt iPad 10.2"" 9.Gen (2021) Cellular",14668696191351,64GB / Som ny / Space Grey,53470949081463,d173dc6798e67e0c,64GB,Som ny,Space Grey,continue,3149.00
"Brugt iPad 10.2"" 9.Gen (2021) Cellular",14668696191351,64GB / Som ny / Sølv,53470949114231,8005d3558c315e9f,64GB,Som ny,Sølv,continue,3149.00
"Brugt iPad 10.2"" 9.Gen (2021) Cellular",14668696191351,256GB / Brugbar / Space Grey,53470949409143,afe75bc40339c805,256GB,Brugbar,Space Grey,continue,3149.00
"Brugt iPad 10.2"" 9.Gen (2021) Cellular",14668696191351,256GB / Brugbar / Sølv,53470949441911,a5d818833fae8d9f,256GB,Brugbar,Sølv,continue,3149.00
"Brugt iPad 10.2"" 9.Gen (2021) Cellular",14668696191351,256GB / Brugt / Space Grey,53470949474679,6493bef2f621ac36,256GB,Brugt,Space Grey,continue,3349.00
"Brugt iPad 10.2"" 9.Gen (2021) Cellular",14668696191351,256GB / Brugt / Sølv,53470949507447,138c8f8e82bac73c,256GB,Brugt,Sølv,continue,3349.00
"Brugt iPad 10.2"" 9.Gen (2021) Cellular",14668696191351,256GB / Rigtig god / Space Grey,53470949540215,8ec8b3c43b8fe8af,256GB,Rigtig god,Space Grey,continue,3549.00
"Brugt iPad 10.2"" 9.Gen (2021) Cellular",14668696191351,256GB / Rigtig god / Sølv,53470949572983,a91ecb323fbea560,256GB,Rigtig god,Sølv,continue,3549.00
"Brugt iPad 10.2"" 9.Gen (2021) Cellular",14668696191351,256GB / Som ny / Space Grey,53470949605751,9974a660364d1804,256GB,Som ny,Space Grey,continue,3749.00
"Brugt iPad 10.2"" 9.Gen (2021) Cellular",14668696191351,256GB / Som ny / Sølv,53470949638519,d056d81328684b1e,256GB,Som ny,Sølv,continue,3749.00
"Brugt iPad 10.2"" 9.Gen (2021) WiFi",14668695667063,64GB / Brugbar / Space Grey,53470947311991,0cbd5a7da681c3b8,64GB,Brugbar,Space Grey,continue,1949.00
"Brugt iPad 10.2"" 9.Gen (2021) WiFi",14668695667063,64GB / Brugbar / Sølv,53470947344759,0e69d5a331c4f0f3,64GB,Brugbar,Sølv,continue,1949.00
"Brugt iPad 10.2"" 9.Gen (2021) WiFi",14668695667063,64GB / Brugt / Space Grey,53470947377527,769b3615fa37ce92,64GB,Brugt,Space Grey,continue,2149.00
"Brugt iPad 10.2"" 9.Gen (2021) WiFi",14668695667063,64GB / Brugt / Sølv,53470947410295,b9c0e9b6b5da1bb2,64GB,Brugt,Sølv,continue,2149.00
"Brugt iPad 10.2"" 9.Gen (2021) WiFi",14668695667063,64GB / Rigtig god / Space Grey,53470947443063,d65e7426a48f60a6,64GB,Rigtig god,Space Grey,continue,2349.00
"Brugt iPad 10.2"" 9.Gen (2021) WiFi",14668695667063,64GB / Rigtig god / Sølv,53470947475831,d108a778c772ae50,64GB,Rigtig god,Sølv,continue,2349.00
"Brugt iPad 10.2"" 9.Gen (2021) WiFi",14668695667063,64GB / Som ny / Space Grey,53470947508599,aab46d79f2ef03bf,64GB,Som ny,Space Grey,continue,2549.00
"Brugt iPad 10.2"" 9.Gen (2021) WiFi",14668695667063,64GB / Som ny / Sølv,53470947541367,8f90671c234506b2,64GB,Som ny,Sølv,continue,2549.00
"Brugt iPad 10.2"" 9.Gen (2021) WiFi",14668695667063,256GB / Brugbar / Space Grey,53470947836279,bf17b927b5002101,256GB,Brugbar,Space Grey,continue,2549.00
"Brugt iPad 10.2"" 9.Gen (2021) WiFi",14668695667063,256GB / Brugbar / Sølv,53470947869047,edb9db2f8acccd71,256GB,Brugbar,Sølv,continue,2549.00
"Brugt iPad 10.2"" 9.Gen (2021) WiFi",14668695667063,256GB / Brugt / Space Grey,53470947901815,d0169edf21e7119d,256GB,Brugt,Space Grey,continue,2749.00
"Brugt iPad 10.2"" 9.Gen (2021) WiFi",14668695667063,256GB / Brugt / Sølv,53470947934583,8acd8c9643e8546c,256GB,Brugt,Sølv,continue,2749.00
"Brugt iPad 10.2"" 9.Gen (2021) WiFi",14668695667063,256GB / Rigtig god / Space Grey,53470947967351,c1e88248355cd51a,256GB,Rigtig god,Space Grey,continue,2949.00
"Brugt iPad 10.2"" 9.Gen (2021) WiFi",14668695667063,256GB / Rigtig god / Sølv,53470948000119,f9f8f96189ccd0c9,256GB,Rigtig god,Sølv,continue,2949.00
"Brugt iPad 10.2"" 9.Gen (2021) WiFi",14668695667063,256GB / Som ny / Space Grey,53470948032887,fb03b110d9edaf20,256GB,Som ny,Space Grey,continue,3149.00
"Brugt iPad 10.2"" 9.Gen (2021) WiFi",14668695667063,256GB / Som ny / Sølv,53470948065655,b49a903ae0c4b9e8,256GB,Som ny,Sølv,continue,3149.00
Brugt iPad 10.9” 10. Gen (2022) Cellular,14668696682871,64GB / Rigtig god / Blå,53470953603447,fa19319a82c6f3e8,64GB,Rigtig god,Blå,continue,3449.00
Brugt iPad 10.9” 10. Gen (2022) Cellular,14668696682871,64GB / Rigtig god / Gul,53470953636215,686fc7eb760aed62,64GB,Rigtig god,Gul,continue,3449.00
Brugt iPad 10.9” 10. Gen (2022) Cellular,14668696682871,64GB / Rigtig god / Lyserød,53471798231415,42e2776b498c32ad,64GB,Rigtig god,Lyserød,continue,3449.00
Brugt iPad 10.9” 10. Gen (2022) Cellular,14668696682871,64GB / Rigtig god / Sølv,53471798264183,5c8ae1e8399f8391,64GB,Rigtig god,Sølv,continue,3449.00
Brugt iPad 10.9” 10. Gen (2022) Cellular,14668696682871,64GB / Som ny / Blå,53470953668983,a50dead6542ee7a7,64GB,Som ny,Blå,continue,3649.00
Brugt iPad 10.9” 10. Gen (2022) Cellular,14668696682871,64GB / Som ny / Gul,53470953701751,3b5985da7e70ccc2,64GB,Som ny,Gul,continue,3649.00
Brugt iPad 10.9” 10. Gen (2022) Cellular,14668696682871,64GB / Som ny / Lyserød,53471798296951,3c807b6d692a7cf8,64GB,Som ny,Lyserød,continue,3649.00
Brugt iPad 10.9” 10. Gen (2022) Cellular,14668696682871,64GB / Som ny / Sølv,53471798329719,6e02233d02831407,64GB,Som ny,Sølv,continue,3649.00
Brugt iPad 10.9” 10. Gen (2022) Cellular,14668696682871,256GB / Rigtig god / Blå,53470954127735,77c63eba3bf2788b,256GB,Rigtig god,Blå,continue,4849.00
Brugt iPad 10.9” 10. Gen (2022) Cellular,14668696682871,256GB / Rigtig god / Gul,53470954160503,973ec7b6c7045f2f,256GB,Rigtig god,Gul,continue,4849.00
Brugt iPad 10.9” 10. Gen (2022) Cellular,14668696682871,256GB / Rigtig god / Lyserød,53471798493559,b08a586af44a5183,256GB,Rigtig god,Lyserød,continue,4849.00
Brugt iPad 10.9” 10. Gen (2022) Cellular,14668696682871,256GB / Rigtig god / Sølv,53471798526327,20c8e5bc85131fe2,256GB,Rigtig god,Sølv,continue,4849.00
Brugt iPad 10.9” 10. Gen (2022) Cellular,14668696682871,256GB / Som ny / Blå,53470954193271,fed85738983e2065,256GB,Som ny,Blå,continue,5049.00
Brugt iPad 10.9” 10. Gen (2022) Cellular,14668696682871,256GB / Som ny / Gul,53470954226039,f132aa196a58efa0,256GB,Som ny,Gul,continue,5049.00
Brugt iPad 10.9” 10. Gen (2022) Cellular,14668696682871,256GB / Som ny / Lyserød,53471798559095,b871ec1ebb4896cc,256GB,Som ny,Lyserød,continue,5049.00
Brugt iPad 10.9” 10. Gen (2022) Cellular,14668696682871,256GB / Som ny / Sølv,53471798591863,ea9dab4df9fef9b9,256GB,Som ny,Sølv,continue,5049.00
